,imageid,Object ID,Parent,X_centroid,Y_centroid,leiden_Res0.3
11351,20_09_N2_R2,e7323484-252a-4e67-8861-af9be66c88db,Capsule/Sinus/Medulla,1045.1,2389.2,5
11352,20_09_N2_R2,be336d8e-91ae-49c5-acd3-ab2b420a5c27,Capsule/Sinus/Medulla,3073.9,2389.3,5
11353,20_09_N2_R2,71deab61-0a79-48d6-a191-9b3979b80e69,Capsule/Sinus/Medulla,411.2,2389.4,5
11354,20_09_N2_R2,1428eb81-f9a8-47b8-8c24-ca0c69f545f5,Capsule/Sinus/Medulla,1019.5,2391.8,9
11355,20_09_N2_R2,972ece9e-4357-461e-af20-4b24368a5a10,Capsule/Sinus/Medulla,2049.1,2395.8,5
11356,20_09_N2_R2,1881a567-83d3-4184-b743-ab4428516458,Capsule/Sinus/Medulla,2985.2,2396.4,9
11357,20_09_N2_R2,fdc12cf8-110d-42b7-8159-b799b5e2ab78,Capsule/Sinus/Medulla,799.21,2397.1,9
11358,20_09_N2_R2,d72515ec-b081-488c-99de-c6ffe89574da,Capsule/Sinus/Medulla,1104.7,2397.8,9
11359,20_09_N2_R2,4e84896b-95e8-4389-a6b6-8b28738cc03e,Capsule/Sinus/Medulla,2328.8,2399.1,9
11360,20_09_N2_R2,385a3a4a-6fe0-4219-b13e-bd664b5a70c7,Capsule/Sinus/Medulla,2789.9,2400.5,9
11361,20_09_N2_R2,5e7588d4-b364-4a53-af21-d07d858e56bc,Capsule/Sinus/Medulla,1551.3,2402.1,5
11362,20_09_N2_R2,32c0b41f-d2c8-4955-b551-daa1aa24be33,Capsule/Sinus/Medulla,1676.0,2402.5,9
11363,20_09_N2_R2,e30101d1-3de5-4483-bc77-8fe8e25a17d3,Capsule/Sinus/Medulla,2616.0,2406.5,9
11364,20_09_N2_R2,ed1b1854-3d57-459b-9136-793c402a7999,Capsule/Sinus/Medulla,2492.0,2408.1,5
11365,20_09_N2_R2,86ef5df1-0cb8-4418-bf1e-db4679364f8e,Capsule/Sinus/Medulla,2240.7,2410.1,9
11366,20_09_N2_R2,8699c576-eee8-4e59-8cd0-793829ffaf53,Capsule/Sinus/Medulla,1638.3,2410.5,9
11367,20_09_N2_R2,fc1be9b7-75a4-477f-aa7b-3344cf752f72,Capsule/Sinus/Medulla,3024.0,2410.7,5
11368,20_09_N2_R2,fbe7d35f-cb97-473e-b418-8726ce6c8731,Capsule/Sinus/Medulla,415.01,2412.2,9
11369,20_09_N2_R2,50a299ed-46cd-4728-844d-3a6e54553629,Capsule/Sinus/Medulla,302.1,2414.5,9
11370,20_09_N2_R2,45cdb8d8-c50c-48fa-bad5-ece7954a142d,Capsule/Sinus/Medulla,104.2,2414.6,5
11371,20_09_N2_R2,163a2f90-c6bd-4199-aa4b-72fa77ad4ad4,Capsule/Sinus/Medulla,1304.7,2416.6,5
11372,20_09_N2_R2,8c6001d7-a998-4e70-bafd-2550e94643a9,Capsule/Sinus/Medulla,2915.1,2417.4,5
11373,20_09_N2_R2,4acd46a9-cc9c-4976-9148-39a5159d36fc,Capsule/Sinus/Medulla,234.96,2417.5,5
11374,20_09_N2_R2,a50b2e42-4b6e-4828-80c8-36353768940e,Capsule/Sinus/Medulla,1464.4,2417.6,5
11375,20_09_N2_R2,f4eda8e5-51b2-49ef-83d6-d03bae04864c,Capsule/Sinus/Medulla,2831.7,2420.5,5
11376,20_09_N2_R2,eb0bcbe2-89cb-4064-a112-a7383c7c9efc,Capsule/Sinus/Medulla,2092.0,2420.7,5
11377,20_09_N2_R2,fe78fcbc-83ef-485c-908e-b4e747e543dc,Capsule/Sinus/Medulla,438.76,2421.2,9
11378,20_09_N2_R2,b60abe2e-f682-4169-9291-ccd53508c95d,Capsule/Sinus/Medulla,2031.8,2421.8,9
11379,20_09_N2_R2,4a40747a-47b4-49fb-a001-c6c61876cd01,Capsule/Sinus/Medulla,2316.5,2422.3,9
11380,20_09_N2_R2,e7aa8e82-ce93-495c-96a2-32d91931ee14,Capsule/Sinus/Medulla,147.97,2430.0,9
11381,20_09_N2_R2,69a5b072-73f7-46a6-90a0-97e2aaa1c883,Capsule/Sinus/Medulla,1627.4,2430.2,5
11382,20_09_N2_R2,9ad121b1-b3af-4543-a111-7c8c870f696a,Capsule/Sinus/Medulla,1781.4,2430.3,5
11383,20_09_N2_R2,ca7dafd7-2c35-4ba1-a4fa-34e3ad63cf4d,Capsule/Sinus/Medulla,2573.7,2431.6,9
11384,20_09_N2_R2,a04521cd-5178-4a70-9c2f-f31fb510cfc2,Capsule/Sinus/Medulla,2191.9,2432.3,9
11385,20_09_N2_R2,453c3b70-4779-4c54-ad12-bf16358dbd2c,Capsule/Sinus/Medulla,1216.8,2437.1,5
11386,20_09_N2_R2,c1d3e4ab-27c0-467a-b80d-933f498d285b,Capsule/Sinus/Medulla,2125.2,2437.8,5
11387,20_09_N2_R2,23306a54-a0e6-438a-b1f7-f48ed3930c6d,Capsule/Sinus/Medulla,2671.3,2439.4,5
11388,20_09_N2_R2,196cfd1a-ec81-49e7-887b-162f986a2e7d,Capsule/Sinus/Medulla,791.19,2439.8,5
11389,20_09_N2_R2,82f120f5-fbd4-4d9e-9065-fd7ff653e501,Capsule/Sinus/Medulla,1327.7,2439.9,5
11390,20_09_N2_R2,a5949a7e-5bf2-4de9-aa1e-5b215105cc76,Capsule/Sinus/Medulla,1561.9,2440.2,5
11391,20_09_N2_R2,25942b43-4e47-43bb-b6c2-4d890536cb0c,Capsule/Sinus/Medulla,857.98,2440.3,5
11392,20_09_N2_R2,1f993cb5-2650-42e2-8ac6-22dbbb73ee69,Capsule/Sinus/Medulla,2706.3,2444.0,5
11393,20_09_N2_R2,4e13d2d8-c1a9-48e9-ad26-7b3d06a10c86,Capsule/Sinus/Medulla,1973.0,2445.8,5
11395,20_09_N2_R2,fc1d3d6e-8f4c-46ac-9014-6a4cc48b5a04,Capsule/Sinus/Medulla,943.26,2449.1,9
11396,20_09_N2_R2,f59df8b5-a5eb-46e4-9f46-06b080d1b110,Capsule/Sinus/Medulla,1433.0,2451.6,5
